lat,long,number
36.59378908,127.2844894,0
36.59369737,127.2845907,0
36.5936373,127.2846466,0
36.59351166,127.2847647,0
36.59342435,127.2848739,0
36.59339223,127.2849252,0
36.59332665,127.2850256,0
36.59317351,127.2852663,0
36.59316844,127.2852743,0
36.59310122,127.2853804,0
36.59300376,127.2854722,0
36.59293629,127.2855777,0
36.59289726,127.2856507,0
36.59279113,127.2857909,0
36.59273146,127.28587,0
36.59268688,127.2859308,0
36.59266423,127.2859819,0
36.5926432,127.2860363,0
36.59258772,127.2861321,0
36.59251686,127.2862553,0
36.59241472,127.2862709,0
36.59222801,127.2862995,0
36.59212767,127.2863126,0
36.59201261,127.2863308,0
36.59173775,127.2863745,0
36.59173766,127.2863745,0
36.59172495,127.2863765,0
36.59164047,127.2863893,0
36.591556,127.2864023,0
36.59147072,127.2864153,0
36.59133116,127.2864367,0
36.59119169,127.286458,0
36.59102815,127.286483,0
36.59052825,127.2865594,0
36.59058575,127.2866621,0
36.59077789,127.2866324,0
36.59084928,127.2867014,0
36.59088099,127.2870066,0
36.59088874,127.2870805,0
36.59091613,127.2873414,0
36.59091614,127.2873414,0
36.59094025,127.2875837,0
36.59095503,127.2877321,0
36.59099392,127.2881229,0
36.59092873,127.2881759,0
36.59089252,127.2882047,0
36.59071342,127.2883655,0
36.59067178,127.2884029,0
36.5906285,127.2885253,0
36.59033313,127.2886556,0
36.59023921,127.2889231,0
36.59021766,127.2889642,0
36.59002935,127.289059,0
36.58984924,127.2891521,0
36.58967193,127.2890232,0
36.58938171,127.2888141,0
36.58937118,127.2888067,0
36.58978441,127.2886836,0
36.58966565,127.2886004,0
36.58961509,127.288565,0
36.58918792,127.288676,0
36.58852206,127.2887331,0
36.58838943,127.2889443,0
36.58815927,127.2886829,0
36.58770451,127.2881666,0
36.58757994,127.2880252,0
36.58756727,127.2880108,0
36.58743202,127.2876621,0
36.5874005,127.2875806,0
36.58739665,127.2875707,0
36.58720082,127.2871602,0
36.58717266,127.2871011,0
36.58716199,127.2870787,0
36.58706502,127.2871152,0
36.58705161,127.2870718,0
36.58704678,127.2870559,0
36.58703815,127.287011,0
36.58702381,127.2869366,0
36.58701872,127.2869178,0
36.58701295,127.2868832,0
36.58695166,127.2865141,0
36.58690511,127.2863067,0
36.586767,127.2863264,0
36.58662656,127.2864552,0
